Timestamp,Score,"1. Please enter all the name(s) of the protected area(s) that apply.
If there is more than one protected area(s) name(s), please separate them by hitting enter in the answer space below","2. Wildlife health, including infectious and non-infectious diseases, is important to achieve the conservation goals of the protected areas where I work ",3. Pathogens carried by wildlife inhabiting the protected area I work in can affect livestock health    ,4. Pathogens carried by wildlife inhabiting the protected area I work in can affect public health,5. Human or livestock pathogens can affect wildlife populations inhabiting the protected area I work in,"6. Introduced domestic animals (e.g., dogs, cats, cattle, pigs, cats) are a concern for the conservation goals of the protected areas where I work",7. Are dead animals encountered in the protected area? ,8. Are sick or injured animals encountered in the protected area? ,9. Are livestock encountered in the protected area?,"10. How long, on average, are the patrols in the protected area?","11. On average, how many patrols are completed in the protected area in one month?",12. Are healthy wildlife found during patrols (rangers or others) recorded as a specific category of individuals?,12.a Please select one of the choices below to help us understand how healthy wildlife are recorded during a patrol:,12.b Please indicate what type of data are recorded (check all that apply),12.c Are these data entered and stored in SMART Desktop?,12.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,13. Are dead wildlife found during patrols recorded as a specific category of individuals? ,13.a Please select one of the choices below to help us understand how dead wildlife are recorded during a patrol:,13.b Please indicate what type of data are recorded (check all that apply),13.c Are these data entered and stored in SMART Desktop?,13.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,14. Are injured wildlife found during patrols recorded as a specific category of individuals? ,14.a Please select one of the choices below to help us understand how injured wildlife are recorded during a patrol:,14.b Please indicate what type of data are recorded (check all that apply),14.c Are these data entered and stored in SMART Desktop?,14.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded?,15. Are sick wildlife found during patrols recorded as a specific category of individuals? ,15.a Please select one of the choices below to help us understand how sick wildlife are recorded during a patrol:,15.b Please indicate what type of data are recorded (check all that apply),15.c Are these data entered and stored in SMART Desktop?,15.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,"16. Are domestic animals found in the protected area (free-ranging, captive, on a farm)?","17. If observed on a patrol, is the presence of domestic animals recorded?",17.a Are these data entered in SMART Desktop?,"18. Is the health status of the observed domestic animals recorded (healthy, sick or injured, dead) recorded?",18.a Are these data entered in SMART Desktop?,19. Is any other data relevant to wildlife health collected during the patrols?,"20. If no data are collected on dead, sick, or injured wildlife, please select the best explanation(s) for why this information is not collected (check all that apply)",21. What version of SMART Desktop is currently used in the protected area?,22. Is SMART Connect available to manage and transfer information between SMART Desktop and SMART Mobile? ,22.a Are there plans to set up SMART Connect instance and when?,23. Is SMART fully rolled-out in the protected area(s) you work in or is it being piloted?,24. Would you be interested in adding a set of categories and attributes to your data model in order to facilitate the collection of wildlife health data (morbidity/mortality findings and events)? ,25. Please select the option that best describes your position
10/29/2022 11:15:03,,"Sambor wildlife sanctuary, Prek Prasab Wildlife Sanctuary ",Agree,Neutral,Neutral,Agree,Agree,Sometimes,Always,Sometimes,Between four days and a week,12,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Sex, Body condition, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Sex, Carcass condition, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,Yes,Yes,Nothing ,"Dead, sick or injured wildlife are seldom found, We use the default SMART data model which does not include sick, dead or injured wildlife",6.3 and 7.5.2,No,"Yes, planned set up it in 2023 ",Under pilot,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/30/2022 7:15:16,,Chipanje Chetu,Neutral,Disagree,Neutral,Neutral,Agree,Very frequently,Occasionally,Sometimes,Between four days and a week,15,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,No,,No,,No,Never thought about it,unsure,No,Would need assistance,Partially rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/30/2022 22:09:42,,"Khoid Mogoin Gol - Teel LPA
Great Gobi Strictly Protected Area Part ""A""
Mongolian Ecological Police Department",Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Occasionally,Occasionally,Occasionally,Less than a day,17,Yes,Each individual healthy animal is recorded as an individual observation,Photographs,None of these items are recorded in the corresponding SMART Conservation Area,Just in Paper report,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Sex, Carcass condition",None of these items are recorded in the corresponding SMART Conservation Area,paper report ,No,,,,,No,,,,,Yes,Yes,No,No,,no,"Dead, sick or injured wildlife are seldom found",7.5.4,Yes,,Under pilot,No,Other
10/30/2022 23:13:21,,"Gunung Nyiut Nature Reserve
Gunung Naning Protected Forest
Karimata Marine Reserve
Seruat Pulau Tiga Protected Forest",Agree,Strongly agree,Agree,Disagree,Neutral,Rarely,Very rarely,Never,Between four days and a week,1,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Species, Age, Sex",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Species, Age, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,No,,No,,no,It would add too much work or time to the patrol,6.3,Yes,,Fully rolled-out,No,Other
10/31/2022 1:49:50,,"Phibsoo Wildlife Sanctuary, Department Of Forest and Park Services, Ministry of Agriculture and Forest. Bhutan",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Very rarely,Very rarely,Rarely,Between two and five days,16,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Carcass condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,"we collect bones and other parts, post mortem of death animals and share information to nearest  livestock office. ",Lack of expertise on how to properly record this information,SMART 6.3.0,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/31/2022 3:41:10,,SABAH PARK (STATION : TAWAU HILLS PARK) - PILOT IMPLEMENTATION ,Agree,Agree,Agree,Agree,Agree,Sometimes,Rarely,Rarely,Between two and five days,20,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Body condition, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Carcass condition, Suspect cause of death, Other",None of these items are recorded in the corresponding SMART Conservation Area,animal record form,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Body condition, Suspect cause of injury, Other",None of these items are recorded in the corresponding SMART Conservation Area,yes,Yes,Sick wildlife is recorded in another way,"Photographs, Species, Body condition, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,No,No,,none,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",smart 7,No,yes. after all set for the smart collect. ,Under pilot,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/31/2022 4:02:18,,WCS all protected areas - Madagascar National parks Protected areas (45),Neutral,Agree,Somewhat Disagree,Agree,Agree,Rarely,Rarely,Very frequently,Between two and five days,10,No,,,,,No,,,,,No,,,,,No,,,,,Yes,Yes,Yes,No,,Not really,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,Yes,,Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/31/2022 14:05:54,,"Rungwa Game Reserve
Kizigo Game Reserve
Muhesi Game Reserve
Ugalla Game Reserve
Lukwati-Piti Game Reserve
Rukwa Game Reserve
Lwafi Game Reserve",Strongly agree,Neutral,Agree,Agree,Agree,Occasionally,Sometimes,Very frequently,Between four days and a week,6,Yes,Healthy wildlife is recorded in another way,Body condition,None of these items are recorded in the corresponding SMART Conservation Area,In the prepared excel forms,Yes,Each individual dead animal is recorded as an individual observation,"Species, Age, Sex, Carcass condition, Suspect cause of death, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Sick wildlife is recorded in another way,"Species, Age, Anomalies/signs if any, Other",None of these items are recorded in the corresponding SMART Conservation Area,Independent report,No,Yes,Yes,No,,No,"Lack of expertise on how to properly record this information, Never thought about it",6,Yes,,Under pilot,Yes,Other
11/1/2022 2:49:01,,"Mt. Goplom Conservation Area, Kwiop village, Jimi District, Jiwaka Province, Papua New Guinea
Mt. Waugerema Conservation Area, Daulo District, Eastern Highlands Province
Yasina Nature Park, Ungai-Bena District, Eastern Highlands Province",Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Sometimes,Rarely,Very rarely,Between four days and a week,2,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Sex, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Suspect cause of death, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,Yes,"Dead, sick or injured wildlife are seldom found",SMART 7.5.3,Yes,,Under pilot,Yes,Other
11/1/2022 4:03:23,,Jigme Singye Wangchuck National Park ,Strongly agree,Strongly agree,Agree,Agree,Agree,Sometimes,Sometimes,Very frequently,Between four days and a week,4,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,Nothing ,Never thought about it,6.3.0,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/1/2022 4:08:04,,Jigme Singye Wangchuck National Park ,Strongly agree,Agree,Agree,Agree,Strongly agree,Sometimes,Sometimes,Very frequently,Between four days and a week,4,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,No,Never thought about it,6.3.0,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/1/2022 6:15:32,,"Budongo
Itwara",Strongly agree,Strongly agree,Agree,Agree,Neutral,Rarely,Rarely,Sometimes,Less than a day,20,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,Yes,Yes,"degree of sickness
","Dead, sick or injured wildlife are seldom found",6.3,Yes,,Under pilot,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
11/1/2022 8:27:28,,Nsumbu Tanganyika Conservation Programme,Agree,Neutral,Neutral,Neutral,Neutral,Rarely,Very rarely,Very rarely,Between four days and a week,60,Yes,Healthy wildlife is recorded in another way,"Species, Age, Sex, Body condition, Other",None of these items are recorded in the corresponding SMART Conservation Area,Just records in the patrol data form (hard copy),No,,,,,No,,,,,No,,,,,No,Yes,No,Yes,No,"Activity or behavior of animal at observation, e.g running away, eating","Dead, sick or injured wildlife are seldom found, We use the default SMART data model which does not include sick, dead or injured wildlife",SMARTY 7.1.0,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/1/2022 19:11:52,,Yasuni,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Occasionally,Sometimes,Sometimes,Between one to two days,25,No,,,,,No,,,,,No,,,,,No,,,,,Yes,No,,No,,no,Lack of expertise on how to properly record this information,6.3,No,next year,Fully rolled-out,Yes,Other
11/2/2022 0:16:58,,Cardamom Landscape,Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Rarely,Sometimes,Sometimes,Between two and five days,50,No,,,,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Photographs, Species, Age, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Photographs, Species, Age, Anomalies/signs if any, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,No,,No,"Dead, sick or injured wildlife are seldom found",SMART 6.3,No,No,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/2/2022 1:54:10,,"1.) Maite Marine Protected Area (MPA)
2.) Lower Cabangcalan MPA
3.) Olang MPA
4.) Tulapos MPA
5.) Cangbagsa MPA
6.) Caticugan MPA",Strongly agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Very rarely,Very rarely,Very rarely,Less than a day,8,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife is recorded in another way,"Photographs, Species, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,Yes,Yes,No,,"Point coordinate location, Date & Time","Dead, sick or injured wildlife are seldom found",7.5.4,Yes,,Under pilot,Yes,Other
11/4/2022 20:09:06,,"Reserva de Biosfera Maya, SIGAP, Petén, Guatemala",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Occasionally,Between one to two days,120,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,No,,no,"Dead, sick or injured wildlife are seldom found",7.5.3,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/7/2022 12:56:49,,"Parque Nacional Volcan Isluga, R. N. Pampa del Tamarugal ",Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Sometimes,Occasionally,Always,Less than a day,12,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Anomalies/signs if any, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,no ,"It would add too much work or time to the patrol, Lack of expertise on how to properly record this information",6.3,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/9/2022 6:20:08,,Mugie Conservancy,Agree,Strongly agree,Strongly agree,Agree,Somewhat Disagree,Sometimes,Rarely,Always,Less than a day,1000,Yes,Each individual healthy animal is recorded as an individual observation,"Species, Age, Sex",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Species, Age, Sex, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife is recorded in another way,"Species, Age, Sex, Body condition, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,Nil,Lack of expertise on how to properly record this information,Smart 7.5,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/9/2022 7:54:57,,KAHUZI-BIEGA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Sometimes,Sometimes,Sometimes,Between four days and a week,20,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,No,Yes,Yes,"yes, number of domestic  animals wich are crossing the protected are by foot","Dead, sick or injured wildlife are seldom found, We use the default SMART data model which does not include sick, dead or injured wildlife",6,Yes,,Fully rolled-out,Yes,Other
11/14/2022 2:19:27,,Mara Triangle,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Occasionally,Always,Occasionally,Between two and five days,40,No,,,,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,No,,Body condition of rhinos,Lack of expertise on how to properly record this information,7.4.0,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/16/2022 19:58:11,,Endau - Rompin Landscape,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Sometimes,Sometimes,Very rarely,Between four days and a week,6,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,No,,No,,No,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",6.3 and 7.5.4,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/16/2022 23:44:10,,"Batang Ai National Park
Lanjak - Entimau Wildlife Sanctuary 
Sedilu-Ulu Sebuyau-Lesong Landscape",Strongly agree,Agree,Somewhat Disagree,Agree,Neutral,Rarely,Rarely,Never,Between four days and a week,1,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,Yes,Yes,No,,Action taken - wildlife,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",SMART 6.3 & 7.5,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/18/2022 15:15:57,,Murchison Falls National Park,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Occasionally,Occasionally,Between one to two days,400,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,Yes,Yes,Yes,"Dead, sick or injured wildlife are seldom found",Yes,Yes,,Under pilot,Yes,I am directly responsible for managing SMART data in one or more protected areas
11/23/2022 11:05:49,,Itombwe nature reserve,Disagree,Disagree,Strongly disagree,Agree,Agree,Sometimes,Always,Occasionally,Between four days and a week,2,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Carcass condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Photographs, Species, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,No,,Ras,"It would add too much work or time to the patrol, Wildlife disease is not relevant in the protected area",5.0.3,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 10:58:58,,Santuario Nacional de Ampay,Agree,Neutral,Neutral,Neutral,Neutral,Very rarely,Very rarely,Very frequently,Less than a day,12,No,,,,,No,,,,,No,,,,,No,,,,,Yes,Yes,Yes,Yes,Yes,no,"Dead, sick or injured wildlife are seldom found, We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 11:12:50,,Reserva Comunal Machiguenga,Agree,Agree,Agree,Agree,Strongly agree,Sometimes,Rarely,Never,Between four days and a week,2,No,,,,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,Yes,Yes,Yes,Yes,None,"Dead, sick or injured wildlife are seldom found",6.3,No,"Yes, next year",Partially rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
12/6/2022 11:36:07,,RP NOR YAUYOS COCHAS ,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Occasionally,Occasionally,Very frequently,Less than a day,45,No,,,,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Sex, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Sex, Body condition, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,Si,"Dead, sick or injured wildlife are seldom found",Version 6.3,No,Para el 2023,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 11:38:36,,PARQUE NACIONAL ICHIGKAT MUJA CORDILLERA DEL CONDOR,Agree,Neutral,Strongly agree,Strongly agree,Somewhat Disagree,Very rarely,Very rarely,Never,Between two and five days,4,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,Yes,Yes,Yes,Yes,usualmente se logra encontrar huesos de animales silvestre muertos que han sido cazados y que son consumidos en el lugar por la poblacion indigena del lugar. ,"Dead, sick or injured wildlife are seldom found",6.3,No,NO,Partially rolled-out,No,I am directly responsible for managing SMART data in one or more protected areas
